"","date","type","code","mid"
"587","2014/9/25","index","USDX",85.2
"588","2014/9/26","index","USDX",85.64
"589","2014/9/29","index","USDX",85.62
"590","2014/9/30","index","USDX",85.91
"591","2014/10/8","index","USDX",85.3
"592","2014/10/9","index","USDX",85.54
"593","2014/10/10","index","USDX",85.81
"594","2014/10/13","index","USDX",85.21
"595","2014/10/14","index","USDX",85.81
"596","2014/10/15","index","USDX",84.92
"597","2014/10/16","index","USDX",84.95
"598","2014/10/17","index","USDX",85.2
"599","2014/10/20","index","USDX",85.03
"600","2014/10/21","index","USDX",85.4
"601","2014/10/22","index","USDX",85.77
"602","2014/10/23","index","USDX",85.88
"603","2014/10/24","index","USDX",85.72
"604","2014/10/27","index","USDX",85.59
"605","2014/10/28","index","USDX",85.41
"606","2014/10/29","index","USDX",85.99
"607","2014/10/30","index","USDX",86.12
"608","2014/10/31","index","USDX",86.92
"609","2014/11/3","index","USDX",87.39
"610","2014/11/4","index","USDX",87.05
"611","2014/11/5","index","USDX",87.41
"612","2014/11/6","index","USDX",88.09
"613","2014/11/7","index","USDX",87.59
"614","2014/11/10","index","USDX",87.81
"615","2014/11/11","index","USDX",87.59
"616","2014/11/12","index","USDX",87.8
"617","2014/11/13","index","USDX",87.75
"618","2014/11/14","index","USDX",87.55
"619","2014/11/17","index","USDX",87.95
"620","2014/11/18","index","USDX",87.58
"621","2014/11/19","index","USDX",87.62
"622","2014/11/20","index","USDX",87.68
"623","2014/11/21","index","USDX",88.29
"624","2014/11/24","index","USDX",88.1
"625","2014/11/25","index","USDX",87.91
"626","2014/11/26","index","USDX",87.67
"627","2014/11/27","index","USDX",87.95
"628","2014/11/28","index","USDX",88.24
"629","2014/12/1","index","USDX",88.01
"630","2014/12/2","index","USDX",88.64
"631","2014/12/3","index","USDX",88.95
"632","2014/12/4","index","USDX",88.65
"633","2014/12/5","index","USDX",89.35
"634","2014/12/8","index","USDX",89.11
"635","2014/12/9","index","USDX",88.73
"636","2014/12/10","index","USDX",88.21
"637","2014/12/11","index","USDX",88.46
"638","2014/12/12","index","USDX",88.33
"639","2014/12/15","index","USDX",88.48
"640","2014/12/16","index","USDX",87.91
"641","2014/12/17","index","USDX",88.22
"642","2014/12/18","index","USDX",89.21
"643","2014/12/19","index","USDX",89.59
"644","2014/12/22","index","USDX",89.72
"645","2014/12/23","index","USDX",90.08
"646","2014/12/24","index","USDX",89.91
"647","2014/12/25","index","USDX",89.81
"648","2014/12/26","index","USDX",90.03
"649","2014/12/29","index","USDX",90.19
"650","2014/12/30","index","USDX",89.97
"651","2014/12/31","index","USDX",90.27
"652","2015/1/5","index","USDX",91.42
"653","2015/1/6","index","USDX",91.61
"654","2015/1/7","index","USDX",91.9892
"655","2015/1/8","index","USDX",92.2916
"656","2015/1/9","index","USDX",91.9444
"657","2015/1/12","index","USDX",92.03
"658","2015/1/13","index","USDX",92.28
"659","2015/1/14","index","USDX",92.0981
"660","2015/1/15","index","USDX",92.0813
"661","2015/1/16","index","USDX",92.69
"662","2015/1/19","index","USDX",92.56
"663","2015/1/20","index","USDX",93.03
"664","2015/1/21","index","USDX",92.77
"665","2015/1/22","index","USDX",94.1813
"666","2015/1/23","index","USDX",95.011
"667","2015/1/26","index","USDX",94.952
"668","2015/1/27","index","USDX",94.0169
"669","2015/1/28","index","USDX",94.6236
"670","2015/1/29","index","USDX",94.7276
"671","2015/1/30","index","USDX",94.8737
"672","2015/2/2","index","USDX",94.59
"673","2015/2/3","index","USDX",93.63
"674","2015/2/4","index","USDX",94.42
"675","2015/2/5","index","USDX",93.54
"676","2015/2/6","index","USDX",94.69
"677","2015/2/9","index","USDX",94.5716
"678","2015/2/10","index","USDX",94.7304
"679","2015/2/11","index","USDX",94.8317
"680","2015/2/12","index","USDX",94.1922
"681","2015/2/13","index","USDX",94.1781
"682","2015/2/16","index","USDX",94.3524
"683","2015/2/17","index","USDX",94.0935
"684","2015/2/25","index","USDX",94.4
"685","2015/2/26","index","USDX",95.2796
"686","2015/2/27","index","USDX",95.25
"687","2015/3/2","index","USDX",95.47
"688","2015/3/3","index","USDX",95.41
"689","2015/3/4","index","USDX",95.9405
"690","2015/3/5","index","USDX",96.3528
"691","2015/3/6","index","USDX",97.7051
"692","2015/3/9","index","USDX",97.6496
"693","2015/3/10","index","USDX",98.7554
"694","2015/3/11","index","USDX",99.7229
"695","2015/3/12","index","USDX",99.2242
"696","2015/3/13","index","USDX",100.148
